福利措施,名稱,地址,電話
中低收入老人牙醫補助,臺 中 榮 民 總醫院嘉  義  分  院,嘉義市西區世賢路二段600號,235-9630 轉5786
中低收入老人牙醫補助,新 生 牙 醫 診 所,嘉義市西區民生北路97號,229-1298
中低收入老人牙醫補助,慈 生 牙 醫 診 所,嘉義市西區博愛路一段411之5號,233-4209
中低收入老人牙醫補助,得 恩 牙 醫 診 所,嘉義市西區南京路468號,286-9689
中低收入老人牙醫補助,正 安 牙 醫 診 所,嘉義市西區文化路436號,232-1476
中低收入老人牙醫補助,蘭潭牙醫診所,612 太保市麻寮里中山路 2 段 177-14 號,2381706
中低收入老人牙醫補助,龍德牙醫診所,612 太保市後潭里後潭 372 之 7 號,3715270
中低收入老人牙醫補助,新世代牙醫診所,612 太保市中山路 1 段 570 號,2383111
中低收入老人牙醫補助,"長庚醫療財團法人嘉義
長庚紀念醫院",613 朴子市仁和里嘉朴路西段 6 號,3621000
中低收入老人牙醫補助,上揚牙醫診所,613 朴子市平和路 11-8 號,3702627
中低收入老人牙醫補助,嘉南牙醫診所,613 朴子市山通路 3 之 4 號,3702488
中低收入老人牙醫補助,黃牙醫診所,613 朴子市海通路 138 之 1 號,3796410
中低收入老人牙醫補助,鴻元牙醫診所,613 朴子市大同路 283 號,3702838
中低收入老人牙醫補助,博愛牙醫診所,625 布袋鎮興中里上海東路 1 號,3475759
中低收入老人牙醫補助,尚和牙醫診所,625 布袋鎮太平東路 466 號,3473368
中低收入老人牙醫補助,邵牙醫診所,625 布袋鎮西安里 30-19 號,3450517
中低收入老人牙醫補助,佛教慈濟醫療財團法人,622 大林鎮平林里民生路 2 號,2648000
中低收入老人牙醫補助,尤牙醫診所,622 大林鎮中山路 207 號,2651322
中低收入老人牙醫補助,得惠牙醫診所,623 溪口鄉溪東村民生街 25 號,2695938
中低收入老人牙醫補助,洪牙醫診所,616 新港鄉大興路 5 號,3743407
中低收入老人牙醫補助,林牙醫診所,616 新港鄉中正路 110 號,3742321
中低收入老人牙醫補助,快樂牙醫診所,611 鹿草鄉西井村 575 號,3751926
中低收入老人牙醫補助,明聖牙醫診所,608 水上鄉柳林村 1165 號,2687283
中低收入老人牙醫補助,崇安牙醫診所,608 水上鄉民生村忠孝街 175 號,2842189
中低收入老人牙醫補助,鴻仁牙醫診所,606 中埔鄉和美村中山路 5 段 928 號,2304736
中低收入老人牙醫補助,臺中榮民總醫院灣橋分院,604 竹崎鄉灣橋村石麻園 38 號,2791072
中低收入老人牙醫補助,羅牙醫診所,604 竹崎鄉民生路 13 號,2614502
中低收入老人牙醫補助,大展牙醫診所,604 竹崎鄉中華路 20 號,2616600
中低收入老人牙醫補助,佑誠牙醫診所,603 梅山鄉中山路 93 號,2624545
中低收入老人牙醫補助,楊景男牙醫診所,603 梅山鄉中山路 218 號,2627766
中低收入老人牙醫補助,正麒牙醫診所,603 梅山鄉社教路 23 號,2621577
中低收入老人牙醫補助,美好牙醫診所,602 番路鄉下坑村 38-28 號,2590808
免費配戴老花眼鏡,鏵嶸光學眼鏡行,嘉義市中山路465號,2226992
免費配戴老花眼鏡,中國眼鏡行(店),嘉義市中山路473號,2259985
免費配戴老花眼鏡,嘉基隱形眼鏡行(公司),嘉義市中山路237號,2289131
免費配戴老花眼鏡,萬國鐘錶眼鏡行(店),嘉義市中正路301號,2228261
免費配戴老花眼鏡,巧士(視)比眼鏡行(有限公司),嘉義市民族路307號,2292029
免費配戴老花眼鏡,3＋3(參加參)眼鏡行,嘉義市民族路564號,2251868
免費配戴老花眼鏡,皇品城眼鏡行(有限公司),嘉義市民族路794號,2161234
免費配戴老花眼鏡,文豪眼鏡行,嘉義市民族路442號,2163363
免費配戴老花眼鏡,木川鐘錶眼鏡行(店),嘉義市民權路325號,2230021
免費配戴老花眼鏡,高名眼鏡專店,嘉義市光華路96號,2281183
免費配戴老花眼鏡,優視光學眼鏡行,嘉義市吳鳳南路203號,2278392
免費配戴老花眼鏡,哈佛眼鏡行,嘉義市台林街122之6號,2775346
免費配戴老花眼鏡,晴華眼鏡行,嘉義市台林街133號,2772160
免費配戴老花眼鏡,大華眼鏡行,嘉義市公明路255號,2247728
免費配戴老花眼鏡,醫光鐘錶眼鏡行,嘉義市芳安路13號,2220541
免費配戴老花眼鏡,太平洋隱形眼鏡行,嘉義市忠孝路284號,2771779
免費配戴老花眼鏡,佳視得眼鏡行(嘉基醫院7樓眼鏡部) ,嘉義市忠孝路642號7樓,2710557
免費配戴老花眼鏡,光合作用眼鏡店,嘉義市興業西路326號,2852323
免費配戴老花眼鏡,中信(中達)眼鏡行,嘉義市北榮街126號,2252806
免費配戴老花眼鏡,洪福眼鏡有限公司,嘉義市新民路854號,2843555
政府提供WIFI,嘉義市中央廣場公園,600嘉義市東區中央里位於文化路、民權路、北榮街、興中街區塊,無
政府提供WIFI,嘉義中山路郵局,600嘉義市東區中山路107號,無
政府提供WIFI,嘉義市政府稅務局,600嘉義市東區中山路154號,無
政府提供WIFI,嘉義市政府警察局,600嘉義市東區中山路195號,無
政府提供WIFI,嘉義市政府中庭,600嘉義市東區中山路199號,無
政府提供WIFI,財政部南區國稅局嘉義分局,600嘉義市東區中山路199號4樓,無
政府提供WIFI,嘉義市政府6樓會議室,600嘉義市東區中山路199號6樓,無
政府提供WIFI,嘉義市政府8樓會議室,600嘉義市東區中山路199號8樓,無
政府提供WIFI,嘉義市中山路與興中街口號誌燈桿,600嘉義市東區中山路263號前號誌燈桿,無
政府提供WIFI,嘉義市中山路中央噴水池圓環-3,600嘉義市東區中山路289號前公話亭,無
政府提供WIFI,嘉義市政府警察局第二分局公園派出所,600嘉義市東區中山路2號,無
政府提供WIFI,第一商業銀行嘉義分行,600嘉義市東區中山路307號,無
政府提供WIFI,臺灣土地銀行嘉義分行,600嘉義市東區中山路309號,無
政府提供WIFI,嘉義市中山路中央噴水池圓環-1,600嘉義市東區中山路309號(土地銀行)旁公話亭,無
政府提供WIFI,財政部國有財產署南區分署嘉義辦事處,600嘉義市東區中山路94號,無
政府提供WIFI,行政執行署嘉義分署1樓等候區,600嘉義市東區中山路96號,無
政府提供WIFI,嘉義市中山路與安和街口,600嘉義市東區中山路96號(行政執行署嘉義分署)前號誌燈桿,無
政府提供WIFI,嘉義市中山路與吳鳳路口公話亭,600嘉義市東區中山路與吳鳳路口公話亭,無
政府提供WIFI,嘉義公園旅遊資訊站,600嘉義市東區中山路與啟明路交叉口,無
政府提供WIFI,嘉義市中山路與民國路口公話亭,600嘉義市東區中山路與民國路口公話亭,無
政府提供WIFI,嘉義東門郵局,600嘉義市東區中正路141號,無
政府提供WIFI,嘉義市文化路商圈(中正路410號前路口立桿),600嘉義市東區中正路410號前(路口立桿),無
政府提供WIFI,臺鐵局嘉北站候車室,600嘉義市東區保健街110號,無
政府提供WIFI,嘉義後湖郵局,600嘉義市東區保健街30-5號,無
政府提供WIFI,交通部公路總局嘉義區監理所嘉義市監理站-考驗大樓,600嘉義市東區保健街89號,無
政府提供WIFI,公路總局嘉義區監理所嘉義市監理站,600嘉義市東區保建街89號,無
政府提供WIFI,嘉義市史蹟資料館,600嘉義市東區公園街42號,無
政府提供WIFI,嘉義市射日塔,600嘉義市東區公園街46號,無
政府提供WIFI,國軍退除役官兵輔導委員會嘉義榮民服務處一樓大廳,600嘉義市東區公園街67號,無
政府提供WIFI,嘉義市長青綜合服務中心,600嘉義市東區公義路1號,無
政府提供WIFI,嘉義市北門驛(舊車站),600嘉義市東區共和路482號,無
政府提供WIFI,嘉義市南興公園,600嘉義市東區南興公園,無
政府提供WIFI,嘉義市北興國民中學傳達室,600嘉義市東區博東路262號,無
政府提供WIFI,嘉義市城隍廟,600嘉義市東區吳鳳北路168號,無
政府提供WIFI,嘉義市東區區公所,600嘉義市東區吳鳳北路184號,無
政府提供WIFI,外交部領事事務局雲嘉南辦事處(大廳),600嘉義市東區吳鳳北路184號2樓,無
政府提供WIFI,行政院雲嘉南區聯合服務中心,600嘉義市東區吳鳳北路184號2樓,無
政府提供WIFI,嘉義市東區戶政事務所,600嘉義市東區吳鳳北路184號4樓,無
政府提供WIFI,嘉義市政府環境保護局,600嘉義市東區吳鳳北路184號5樓,無
政府提供WIFI,臺中榮總嘉義分院附設門診部門診大樓1F大廳,600嘉義市東區吳鳳北路35巷4號,無
政府提供WIFI,兆豐國際商銀嘉興分行,600嘉義市東區吳鳳北路379號,無
政府提供WIFI,嘉義市政府警察局第二分局,600嘉義市東區吳鳳南路367號,無
政府提供WIFI,嘉義市政府警察局第二分局新南派出所,600嘉義市東區吳鳳南路75號,無
政府提供WIFI,中油公司煉製研究所招待所,600嘉義市東區吳鳳南路91號,無
政府提供WIFI,嘉義市公園聯合里辦公室,600嘉義市東區啟明路264號2樓,無
政府提供WIFI,嘉義公園(啟明路與民權路口公話亭),600嘉義市東區啟明路與民權路口公話亭),無
政府提供WIFI,嘉義市嘉北國民小學守衛室,600嘉義市東區嘉北街65號,無
政府提供WIFI,嘉義公園(民權路與五福街口側門立桿),600嘉義市東區嘉義公園五福街側門立桿,無
政府提供WIFI,嘉義市立嘉義國民中學守衛室,600嘉義市東區圓福街86號,無
政府提供WIFI,台電公司嘉義區處服務中心營業廳,600嘉義市東區垂楊路223號,無
政府提供WIFI,嘉義市蘇周連宗祠,600嘉義市東區垂楊路326號,無
政府提供WIFI,行政院勞動部勞工保險局嘉義辦事處洽公櫃台,600嘉義市東區大業街2號,無
政府提供WIFI,嘉義市立大業國民中學,600嘉義市東區大業街57號,無
政府提供WIFI,嘉義縣公共汽車管理處,600嘉義市東區大雅路2段635號,無
政府提供WIFI,嘉義市東區衛生所,600嘉義市東區大雅路二段625號,無
政府提供WIFI,嘉義市二二八紀念館,600嘉義市東區大雅路二段695號,無
政府提供WIFI,交通部公路總局第五區養護工程處,600嘉義市東區安和街209號,無
政府提供WIFI,嘉義市宣信國民小學後棟1樓中廊,600嘉義市東區宣信街266號,無
政府提供WIFI,嘉義市蘭潭國民小學,600嘉義市東區小雅路419號,無
政府提供WIFI,嘉義市棒球場,600嘉義市東區山仔頂249號-1,無
政府提供WIFI,嘉義市家庭教育中心1樓閱覽室,600嘉義市東區山子頂269-1號,無
政府提供WIFI,嘉義市黃賓圖書館,600嘉義市東區延平街328號,無
政府提供WIFI,嘉義市勞工育樂中心,600嘉義市東區彌陀路101號(2F),無
政府提供WIFI,嘉義彌陀郵局,600嘉義市東區彌陀路268號,無
政府提供WIFI,嘉義市東區體育館,600嘉義市東區彌陀路381號,無
政府提供WIFI,嘉義市市立博物館,600嘉義市東區忠孝路275-1號,無
政府提供WIFI,嘉義市政府文化局圖書館,600嘉義市東區忠孝路275號,無
政府提供WIFI,嘉義市文化局前忠孝路公話亭,600嘉義市東區忠孝路275號,無
政府提供WIFI,嘉義市政府文化局展覽室(3F),600嘉義市東區忠孝路275號3樓,無
政府提供WIFI,嘉義市政府文化局展覽室(4F),600嘉義市東區忠孝路275號4樓,無
政府提供WIFI,嘉義市交趾陶館,600嘉義市東區忠孝路275號B1,無
政府提供WIFI,嘉義市政府警察局第二分局後湖派出所,600嘉義市東區忠孝路537號,無
政府提供WIFI,臺灣銀行嘉北分行,600嘉義市東區忠孝路602號,無
政府提供WIFI,嘉義市文化路商圈(文化路114號路口立桿),600嘉義市東區文化路114號前(路口立桿),無
政府提供WIFI,嘉義文化路郵局,600嘉義市東區文化路134號,無
政府提供WIFI,臺灣嘉義地方法院嘉義簡易庭2F當事人休息區,600嘉義市東區文化路308之1號,無
政府提供WIFI,嘉義市森林之歌,600嘉義市東區文化路地下道旁,無
政府提供WIFI,嘉義市文化公園,600嘉義市東區文化路與垂楊路交叉口,無
政府提供WIFI,嘉義市文化路商圈(文化路與民族路口公話亭),600嘉義市東區文化路與民族路口公話亭,無
政府提供WIFI,嘉義市文雅國民小學,600嘉義市東區文雅街2號,無
政府提供WIFI,嘉義市東南門聯合里辦公室,600嘉義市東區新生路304號,無
政府提供WIFI,彰化商業銀行東嘉義分行,600嘉義市東區新生路832號1樓,無
政府提供WIFI,嘉義市檜意森活村(水池區),600嘉義市東區林森東路1號,無
政府提供WIFI,嘉義市檜意森活村(營林俱樂部),600嘉義市東區林森東路1號,無
政府提供WIFI,嘉義市檜意森活村(遊客服務中心旁),600嘉義市東區林森東路1號,無
政府提供WIFI,臺灣嘉義地方法院1F當事人休息區,600嘉義市東區林森東路282號,無
政府提供WIFI,臺灣嘉義地方法院檢察署為民服務中心,600嘉義市東區林森東路286號,無
政府提供WIFI,嘉義市林森國民小學操場(近同馨樓西側),600嘉義市東區林森東路346號,無
政府提供WIFI,嘉義林森郵局,600嘉義市東區林森東路488號,無
政府提供WIFI,行政院農業委員會林務局嘉義林區管理處,600嘉義市東區林森西路1號,無
政府提供WIFI,阿里山鐵路車庫園區(南側門),600嘉義市東區林森西路2號,無
政府提供WIFI,阿里山鐵路車庫園區2F,600嘉義市東區林森西路2號,無
政府提供WIFI,嘉義市動力室木雕作品展示館,600嘉義市東區林森西路4號,無
政府提供WIFI,嘉義市政府警察局第二分局南門派出所,600嘉義市東區民族路230號,無
政府提供WIFI,嘉義市民族國民小學,600嘉義市東區民族路235號,無
政府提供WIFI,嘉義市蘭潭國民中學活動中心,600嘉義市東區民權東路32號,無
政府提供WIFI,嘉義市政府警察局第二分局長竹派出所,600嘉義市東區民權東路34號,無
政府提供WIFI,自來水公司嘉義給水廠,600嘉義市東區民權東路46號,無
政府提供WIFI,嘉義忠孝郵局,600嘉義市東區民權路208-1號,無
政府提供WIFI,嘉義市九華山地藏庵,600嘉義市東區民權路255號,無
政府提供WIFI,嘉義市政府警察局第二分局北門派出所,600嘉義市東區民權路268號,無
政府提供WIFI,自來水公司嘉義服務所,600嘉義市東區民權路293號,無
政府提供WIFI,自來水公司第五區管理處,600嘉義市東區民權路293號,無
政府提供WIFI,標準檢驗局臺南分局嘉義辦事處,600嘉義市東區民權路312號,無
政府提供WIFI,國防部嘉義福利站服務台,600嘉義市東區民權路50之1號,無
政府提供WIFI,嘉義市政府消防局,600嘉義市東區立學街16號,無
政府提供WIFI,嘉義市獄政博物館,600嘉義市東區維新路140號,無
政府提供WIFI,嘉義市河濱運動公園電信室前,600嘉義市東區興仁街50號,無
政府提供WIFI,中油公司嘉義直銷中心,600嘉義市東區興業東路12號,無
政府提供WIFI,嘉義興業路郵局,600嘉義市東區興業東路12號,無
政府提供WIFI,勞動部勞動力發展署雲嘉南分屬嘉義就業服務站洽公櫃台,600嘉義市東區興業東路267號,無
政府提供WIFI,嘉義市兒童福利服務中心,600嘉義市東區興業東路555號,無
政府提供WIFI,台灣中油股份有限公司溶劑化學品事業部,600嘉義市東區興業東路6號,無
政府提供WIFI,水利署第五河川局1樓服務台,600嘉義市東區親水路123號,無
政府提供WIFI,嘉義市北門聯合里辦公室,600嘉義市東區長榮街208號,無
政府提供WIFI,嘉義市青少年福利服務中心,600嘉義市東區體育路10號,無
政府提供WIFI,嘉義市田徑場,600嘉義市東區體育路2號,無
政府提供WIFI,嘉義大學郵局,600嘉義市東區鹿寮里學府路300號,無
政府提供WIFI,嘉義市蘭潭月影潭心,600嘉義市東區鹿寮里紅毛埤187號之4,無
政府提供WIFI,嘉義市世賢圖書館,600嘉義市西區世賢路一段685號,無
政府提供WIFI,嘉義市世賢國民小學操場(近活動中心),600嘉義市西區世賢路一段687號,無
政府提供WIFI,嘉義市政府警察局第一分局八掌派出所,600嘉義市西區世賢路三段451號,無
政府提供WIFI,臺中榮總嘉義分院行政大樓3F,600嘉義市西區世賢路二段600號,無
政府提供WIFI,臺中榮總嘉義分院門診部門診大樓1F大廳,600嘉義市西區世賢路二段600號1樓,無
政府提供WIFI,臺中榮總嘉義分院門診部門診大樓2F候診區,600嘉義市西區世賢路二段600號2樓,無
政府提供WIFI,臺中榮總嘉義分院健檢中心,600嘉義市西區世賢路二段601號,無
政府提供WIFI,嘉義市中山路中央噴水池圓環-2,600嘉義市西區中山路294號(玉山證券)前公話亭,無
政府提供WIFI,臺灣銀行嘉義分行,600嘉義市西區中山路306號,無
政府提供WIFI,嘉義市中山路與國華街口,600嘉義市西區中山路306號(台灣銀行)前路口立桿,無
政府提供WIFI,華南商業銀行嘉義分行,600嘉義市西區中山路320號,無
政府提供WIFI,彰化商業銀行嘉義分行,600嘉義市西區中山路386號1樓,無
政府提供WIFI,嘉義市中山路與忠義街口,600嘉義市西區中山路411號前光化箱,無
政府提供WIFI,嘉義市中山路與民生路口,600嘉義市西區中山路443號前路口監控桿,無
政府提供WIFI,嘉義市中山路與西榮街口(嘉義客運總站前),600嘉義市西區中山路497號前電信箱(嘉義客運總站附近),無
政府提供WIFI,臺鐵局嘉義站候車室,600嘉義市西區中山路528號,無
政府提供WIFI,臺鐵局嘉義站第1月台10車位置,600嘉義市西區中山路528號,無
政府提供WIFI,臺鐵局嘉義站第1月台3車位置,600嘉義市西區中山路528號,無
政府提供WIFI,嘉義市政府警察局第一分局長榮派出所,600嘉義市西區中山路567號,無
政府提供WIFI,嘉義市中山路與西門街口,600嘉義市西區中山路567號(長榮派出所)前公話亭,無
政府提供WIFI,嘉義站前郵局,600嘉義市西區中正路647號,無
政府提供WIFI,嘉義市先期交通轉運中心,600嘉義市西區中興路1號,無
政府提供WIFI,嘉義玉山郵局,600嘉義市西區中興路672號,無
政府提供WIFI,行政院農業委員會農糧署南區分署-嘉義辦事處,600嘉義市西區仁愛路327號,無
政府提供WIFI,行政院農業委員會動植物防疫檢疫局臺中分局嘉義檢疫站,600嘉義市西區仁愛路327號2樓,無
政府提供WIFI,嘉義保安郵局,600嘉義市西區保安里保安一路241號,無
政府提供WIFI,嘉義市劉厝公園,600嘉義市西區劉厝131號(社區活動中心旁),無
政府提供WIFI,嘉義市政府警察局第一分局,600嘉義市西區北港路280號,無
政府提供WIFI,嘉義醫院-10樓左側陽光室,600嘉義市西區北港路312號,無
政府提供WIFI,嘉義醫院-1樓大廳口,600嘉義市西區北港路312號,無
政府提供WIFI,嘉義市北園國民小學守衛室,600嘉義市西區北湖里北社尾路168號,無
政府提供WIFI,嘉義市北社尾公園,600嘉義市西區北社尾路203巷尾,無
政府提供WIFI,嘉義北社郵局,600嘉義市西區北興街245號,無
政府提供WIFI,嘉義興嘉郵局,600嘉義市西區南京路409號,無
政府提供WIFI,嘉義市興嘉公園舞台西側,600嘉義市西區南京路與上海路交叉口,無
政府提供WIFI,嘉義市政府警察局第一分局北興派出所,600嘉義市西區博愛路一段506號,無
政府提供WIFI,嘉義市政府警察局第一分局竹園派出所,600嘉義市西區博愛路二段455號,無
政府提供WIFI,嘉義市立玉山國民中學,600嘉義市西區友忠路1號,無
政府提供WIFI,彰化商業銀行北嘉義分行,600嘉義市西區友愛路290號,無
政府提供WIFI,嘉義市博愛國民小學後棟1樓中廊,600嘉義市西區友愛路822號,無
政府提供WIFI,嘉義市港坪國民小學,600嘉義市西區四維路63號,無
政府提供WIFI,嘉義市西市場一樓(近忠義街),600嘉義市西區國華街245號,無
政府提供WIFI,嘉義市地政事務所,600嘉義市西區國華街245號8樓,無
政府提供WIFI,嘉義市中正公園舞台,600嘉義市西區國華街、民權路交叉處,無
政府提供WIFI,臺灣菸酒嘉義便利店,600嘉義市西區垂楊路427號1樓,無
政府提供WIFI,嘉義市垂楊路百貨廣場(遠東百貨前公話亭),600嘉義市西區垂楊路537號,無
政府提供WIFI,嘉義市垂楊路百貨廣場(新光三越前公話亭),600嘉義市西區垂楊路726號,無
政府提供WIFI,嘉義市果菜市場,600嘉義市西區埤竹路50號,無
政府提供WIFI,嘉義市228國家紀念公園,600嘉義市西區大信街、大貴路、自強街區塊內,無
政府提供WIFI,嘉義市港坪運動公園,600嘉義市西區大同路320號,無
政府提供WIFI,嘉義市僑平國民小學操場(靠近器材室),600嘉義市西區德安路10號,無
政府提供WIFI,嘉義市婦女福利服務中心,600嘉義市西區德安路6號,無
政府提供WIFI,嘉義市家庭福利服務中心,600嘉義市西區德安路6號(後棟1樓),無
政府提供WIFI,嘉義市西區衛生所,600嘉義市西區德明路1號,無
政府提供WIFI,嘉義成功街郵局,600嘉義市西區成功街112號,無
政府提供WIFI,嘉義市大同國民小學1樓中廊,600嘉義市西區成功街15號,無
政府提供WIFI,兆豐國際商銀嘉義分行,600嘉義市西區文化路259號,無
政府提供WIFI,嘉義埤子頭郵局,600嘉義市西區文化路456號,無
政府提供WIFI,嘉義市經國新城社區健康關懷小站,600嘉義市西區新榮路35巷1號,無
政府提供WIFI,嘉義市民生國民中學司令台北側,600嘉義市西區新民路601號,無
政府提供WIFI,嘉義市長榮聯合里辦公室,600嘉義市西區林森西路364號,無
政府提供WIFI,嘉義市竹園聯合里辦公室,600嘉義市西區民族路933號之1,無
政府提供WIFI,嘉義民權路郵局,600嘉義市西區民權路467號,無
政府提供WIFI,中油公司嘉義市服務中心,600嘉義市西區民生南路217號,無
政府提供WIFI,中油公司煉製研究所,600嘉義市西區民生南路217號,無
政府提供WIFI,嘉義市民生公園-1,600嘉義市西區民生南路222號對面電信箱,無
政府提供WIFI,嘉義湖內郵局,600嘉義市西區民生南路540號,無
政府提供WIFI,嘉義市民生公園-2,600嘉義市西區民生南路與興業西路口公話亭,無
政府提供WIFI,嘉義市身心障礙綜合園區(再耕園1樓大廳),600嘉義市西區玉康路160號,無
政府提供WIFI,嘉義福全郵局,600嘉義市西區福全里北港路55、57號,無
政府提供WIFI,臺灣土地銀行嘉興分行,600嘉義市西區自由路28號,無
政府提供WIFI,第一商業銀行(興嘉分行),600嘉義市西區興業西路427號,無
政府提供WIFI,華南商業銀行嘉南分行,600嘉義市西區蘭井街469號,無
政府提供WIFI,嘉義市北鎮聯合里辦公室,600嘉義市西區通化四街25號,無
政府提供WIFI,嘉義市八掌聯合里辦公室,600嘉義市西區錦州二街28號2樓,無
政府提供WIFI,嘉義市西區戶政事務所,600嘉義市西區錦州二街28號2樓,無
政府提供WIFI,嘉義市西區區公所,600嘉義市西區錦州二街28號3樓,無
政府提供WIFI,嘉義市政府九樓禮堂,600嘉義市東區中山路199號9樓,無
政府提供WIFI,嘉義市黃賓圖書館室內3樓,600嘉義市東區延平街328號,無
政府提供WIFI,嘉義市消防局(第一消防分隊),600嘉義市東區立學街16號,無
政府提供WIFI,嘉義市警察局禮堂(警察局5樓),600嘉義市東區中山路195號5樓,無
政府提供WIFI,嘉義市政府文化局圖書館(兒童閱覽室),600嘉義市東區忠孝路275號,無
政府提供WIFI,嘉義市消防局(後湖消防分隊),600嘉義市東區保健街123號,無
政府提供WIFI,嘉義市世賢圖書館室內2樓,600嘉義市西區世賢路一段685號,無
政府提供WIFI,嘉義市垃圾焚化廠管理大樓,600嘉義市西區湖子內路741號,無
政府提供WIFI,嘉義市北園國中,600嘉義市西區雙園街280號,無
政府提供WIFI,嘉義火車站前廣場,600嘉義市西區中山路530號前,無
政府提供WIFI,嘉義市中央廣場(靠啄木鳥電話亭),600嘉義市東區文化路1797號對面,無
政府提供WIFI,嘉義市魚市場(東),600嘉義市西區埤竹路52號,無
政府提供WIFI,嘉義市魚市場(西),600嘉義市西區埤竹路52號,無
政府提供WIFI,嘉義市果菜市場(東),600嘉義市西區埤竹路50號56攤,無
政府提供WIFI,嘉義市果菜市場(西),600嘉義市西區埤竹路50號15攤,無
政府提供WIFI,嘉義市崇文公園,600嘉義市西區永安街22號對面,無
政府提供WIFI,嘉義市文化公園(靠近嘉女路側廁所),600嘉義市西區文化路1-5號對面,無
政府提供WIFI,嘉義市文昌公園,600嘉義市東區文昌街96號對面,無
政府提供WIFI,嘉義市南田公園,600嘉義市東區興業東路265巷1號前,無
政府提供WIFI,嘉義市義昌公園,600嘉義市西區延平街370號旁,無
政府提供WIFI,嘉義市中正公園,600嘉義市西區民權路396號,無
政府提供WIFI,嘉義市長榮公園,600嘉義市東區安和街210號前公話亭,無
政府提供WIFI,嘉義市頂庄公園,600嘉義市東區義教街613巷27號,無
政府提供WIFI,嘉義市香湖公園1(LED看板),600嘉義市西區文化路585號(阿潘肉包前LED看板),無
政府提供WIFI,嘉義市香湖公園2(文化路585號路口監控),600嘉義市西區文化路607號,無
政府提供WIFI,嘉義市香湖公園3(友愛路口路口監控),600嘉義市西區友愛路1001號前安全島,無
政府提供WIFI,嘉義市友忠公園,600嘉義市西區福嘉街60號前管理中心,無
政府提供WIFI,嘉義市博愛公園,600嘉義市西區友愛路629號廁所旁,無
政府提供WIFI,嘉義市湖內兒童公園,600嘉義市西區民生南路818巷101號前,無
政府提供WIFI,嘉義市興嘉公園(靠興業西路側公話亭),600嘉義市西區興業西路455號對面公話亭,無
政府提供WIFI,嘉義市劉厝3號公園,600嘉義市西區大聖路282號對面,無
政府提供WIFI,嘉義市劉厝1號公園,600嘉義市西區大利街160號對面,無
政府提供WIFI,嘉義市農會(前候車亭),600嘉義市西區北港路251號旁,無
政府提供WIFI,嘉義市嘉油鐵馬道(紅瓦厝站),600嘉義市西區重慶一街280號後,無
政府提供WIFI,嘉義市嘉油鐵馬道(民生南路),600嘉義市西區民生南路530號後,無
政府提供WIFI,嘉義市嘉油鐵馬道(世賢路四段),600嘉義市西區世賢路四段250號後,無
政府提供WIFI,嘉義市港坪運動公園(市內場館1F),600嘉義市西區大同路320號1F,無
政府提供WIFI,嘉義市港坪運動公園(市內場館2F),600嘉義市西區大同路320號2F觀眾席,無
友善老人餐廳,鈺通大飯店,嘉義市東區維新路7號,無
友善老人餐廳,耐斯王子大飯店5樓阿里山宴會餐廳,嘉義市東區忠孝路600號5樓,05-2751222
友善老人餐廳,耐斯王子大飯店7樓萬國百匯餐廳,嘉義市東區忠孝路600號7樓,05-2771999
