編號,熱點名稱,地址
65,嘉義市東區體育館,600嘉義市東區彌陀路381號
66,嘉義市市立博物館,600嘉義市東區忠孝路275-1號
67,嘉義市政府文化局圖書館,600嘉義市東區忠孝路275號
68,嘉義市文化局前忠孝路公話亭,600嘉義市東區忠孝路275號
69,嘉義市政府文化局展覽室(3F),600嘉義市東區忠孝路275號3樓
70,嘉義市政府文化局展覽室(4F),600嘉義市東區忠孝路275號4樓
71,嘉義市交趾陶館,600嘉義市東區忠孝路275號B1
72,嘉義市政府警察局第二分局後湖派出所,600嘉義市東區忠孝路537號
73,臺灣銀行嘉北分行,600嘉義市東區忠孝路602號
74,嘉義市文化路商圈(文化路114號路口立桿),600嘉義市東區文化路114號前(路口立桿)
75,嘉義文化路郵局,600嘉義市東區文化路134號
76,臺灣嘉義地方法院嘉義簡易庭2F當事人休息區,600嘉義市東區文化路308之1號
77,嘉義市森林之歌,600嘉義市東區文化路地下道旁
78,嘉義市文化公園,600嘉義市東區文化路與垂楊路交叉口
79,嘉義市文化路商圈(文化路與民族路口公話亭),600嘉義市東區文化路與民族路口公話亭
80,嘉義市文雅國民小學,600嘉義市東區文雅街2號
81,嘉義市東南門聯合里辦公室,600嘉義市東區新生路304號
82,彰化商業銀行東嘉義分行,600嘉義市東區新生路832號1樓
83,嘉義市檜意森活村(水池區),600嘉義市東區林森東路1號
84,嘉義市檜意森活村(營林俱樂部),600嘉義市東區林森東路1號
85,嘉義市檜意森活村(遊客服務中心旁),600嘉義市東區林森東路1號
86,臺灣嘉義地方法院1F當事人休息區,600嘉義市東區林森東路282號
87,臺灣嘉義地方法院檢察署為民服務中心,600嘉義市東區林森東路286號
88,嘉義市林森國民小學操場(近同馨樓西側),600嘉義市東區林森東路346號
89,嘉義林森郵局,600嘉義市東區林森東路488號
90,行政院農業委員會林務局嘉義林區管理處,600嘉義市東區林森西路1號
91,阿里山鐵路車庫園區(南側門),600嘉義市東區林森西路2號
92,阿里山鐵路車庫園區2F,600嘉義市東區林森西路2號
93,嘉義市動力室木雕作品展示館,600嘉義市東區林森西路4號
94,嘉義市政府警察局第二分局南門派出所,600嘉義市東區民族路230號
95,嘉義市民族國民小學,600嘉義市東區民族路235號
96,嘉義市蘭潭國民中學活動中心,600嘉義市東區民權東路32號
97,嘉義市政府警察局第二分局長竹派出所,600嘉義市東區民權東路34號
98,自來水公司嘉義給水廠,600嘉義市東區民權東路46號
99,嘉義忠孝郵局,600嘉義市東區民權路208-1號
100,嘉義市九華山地藏庵,600嘉義市東區民權路255號
101,嘉義市政府警察局第二分局北門派出所,600嘉義市東區民權路268號
102,自來水公司嘉義服務所,600嘉義市東區民權路293號
103,自來水公司第五區管理處,600嘉義市東區民權路293號
104,標準檢驗局臺南分局嘉義辦事處,600嘉義市東區民權路312號
105,國防部嘉義福利站服務台,600嘉義市東區民權路50之1號
106,嘉義市政府消防局,600嘉義市東區立學街16號
107,嘉義市獄政博物館,600嘉義市東區維新路140號
108,嘉義市河濱運動公園電信室前,600嘉義市東區興仁街50號
109,中油公司嘉義直銷中心,600嘉義市東區興業東路12號
110,嘉義興業路郵局,600嘉義市東區興業東路12號
111,勞動部勞動力發展署雲嘉南分屬嘉義就業服務站洽公櫃台,600嘉義市東區興業東路267號
112,嘉義市兒童福利服務中心,600嘉義市東區興業東路555號
113,台灣中油股份有限公司溶劑化學品事業部,600嘉義市東區興業東路6號
114,水利署第五河川局1樓服務台,600嘉義市東區親水路123號
115,嘉義市北門聯合里辦公室,600嘉義市東區長榮街208號
116,嘉義市青少年福利服務中心,600嘉義市東區體育路10號
117,嘉義市田徑場,600嘉義市東區體育路2號
118,嘉義大學郵局,600嘉義市東區鹿寮里學府路300號
119,嘉義市蘭潭月影潭心,600嘉義市東區鹿寮里紅毛埤187號之4
120,嘉義市世賢圖書館,600嘉義市西區世賢路一段685號
121,嘉義市世賢國民小學操場(近活動中心),600嘉義市西區世賢路一段687號
122,嘉義市政府警察局第一分局八掌派出所,600嘉義市西區世賢路三段451號
123,臺中榮總嘉義分院行政大樓3F,600嘉義市西區世賢路二段600號
124,臺中榮總嘉義分院門診部門診大樓1F大廳,600嘉義市西區世賢路二段600號1樓
125,臺中榮總嘉義分院門診部門診大樓2F候診區,600嘉義市西區世賢路二段600號2樓
126,臺中榮總嘉義分院健檢中心,600嘉義市西區世賢路二段601號
127,嘉義市中山路中央噴水池圓環-2,600嘉義市西區中山路294號(玉山證券)前公話亭
128,臺灣銀行嘉義分行,600嘉義市西區中山路306號
129,嘉義市中山路與國華街口,600嘉義市西區中山路306號(台灣銀行)前路口立桿
130,華南商業銀行嘉義分行,600嘉義市西區中山路320號
131,彰化商業銀行嘉義分行,600嘉義市西區中山路386號1樓
132,嘉義市中山路與忠義街口,600嘉義市西區中山路411號前光化箱
133,嘉義市中山路與民生路口,600嘉義市西區中山路443號前路口監控桿
134,嘉義市中山路與西榮街口(嘉義客運總站前),600嘉義市西區中山路497號前電信箱(嘉義客運總站附近)
135,臺鐵局嘉義站候車室,600嘉義市西區中山路528號
136,臺鐵局嘉義站第1月台10車位置,600嘉義市西區中山路528號
137,臺鐵局嘉義站第1月台3車位置,600嘉義市西區中山路528號
138,嘉義市政府警察局第一分局長榮派出所,600嘉義市西區中山路567號
139,嘉義市中山路與西門街口,600嘉義市西區中山路567號(長榮派出所)前公話亭
140,嘉義站前郵局,600嘉義市西區中正路647號
141,嘉義市先期交通轉運中心,600嘉義市西區中興路1號
142,嘉義玉山郵局,600嘉義市西區中興路672號
143,行政院農業委員會農糧署南區分署-嘉義辦事處,600嘉義市西區仁愛路327號
144,行政院農業委員會動植物防疫檢疫局臺中分局嘉義檢疫站,600嘉義市西區仁愛路327號2樓
145,嘉義保安郵局,600嘉義市西區保安里保安一路241號
146,嘉義市劉厝公園,600嘉義市西區劉厝131號(社區活動中心旁)
147,嘉義市政府警察局第一分局,600嘉義市西區北港路280號
148,嘉義醫院-10樓左側陽光室,600嘉義市西區北港路312號
149,嘉義醫院-1樓大廳口,600嘉義市西區北港路312號
150,嘉義市北園國民小學守衛室,600嘉義市西區北湖里北社尾路168號
151,嘉義市北社尾公園,600嘉義市西區北社尾路203巷尾
152,嘉義北社郵局,600嘉義市西區北興街245號
153,嘉義興嘉郵局,600嘉義市西區南京路409號
154,嘉義市興嘉公園舞台西側,600嘉義市西區南京路與上海路交叉口
155,嘉義市政府警察局第一分局北興派出所,600嘉義市西區博愛路一段506號
156,嘉義市政府警察局第一分局竹園派出所,600嘉義市西區博愛路二段455號
157,嘉義市立玉山國民中學,600嘉義市西區友忠路1號
158,彰化商業銀行北嘉義分行,600嘉義市西區友愛路290號
159,嘉義市博愛國民小學後棟1樓中廊,600嘉義市西區友愛路822號
160,嘉義市港坪國民小學,600嘉義市西區四維路63號
161,嘉義市西市場一樓(近忠義街),600嘉義市西區國華街245號
162,嘉義市地政事務所,600嘉義市西區國華街245號8樓
163,嘉義市中正公園舞台,600嘉義市西區國華街、民權路交叉處
164,臺灣菸酒嘉義便利店,600嘉義市西區垂楊路427號1樓
165,嘉義市垂楊路百貨廣場(遠東百貨前公話亭),600嘉義市西區垂楊路537號
166,嘉義市垂楊路百貨廣場(新光三越前公話亭),600嘉義市西區垂楊路726號
167,嘉義市果菜市場,600嘉義市西區埤竹路50號
168,嘉義市228國家紀念公園,600嘉義市西區大信街、大貴路、自強街區塊內
169,嘉義市港坪運動公園,600嘉義市西區大同路320號
170,嘉義市僑平國民小學操場(靠近器材室),600嘉義市西區德安路10號
171,嘉義市婦女福利服務中心,600嘉義市西區德安路6號
172,嘉義市家庭福利服務中心,600嘉義市西區德安路6號(後棟1樓)
173,嘉義市西區衛生所,600嘉義市西區德明路1號
174,嘉義成功街郵局,600嘉義市西區成功街112號
175,嘉義市大同國民小學1樓中廊,600嘉義市西區成功街15號
176,兆豐國際商銀嘉義分行,600嘉義市西區文化路259號
177,嘉義埤子頭郵局,600嘉義市西區文化路456號
178,嘉義市經國新城社區健康關懷小站,600嘉義市西區新榮路35巷1號
179,嘉義市民生國民中學司令台北側,600嘉義市西區新民路601號
180,嘉義市長榮聯合里辦公室,600嘉義市西區林森西路364號
181,嘉義市竹園聯合里辦公室,600嘉義市西區民族路933號之1
182,嘉義民權路郵局,600嘉義市西區民權路467號
183,中油公司嘉義市服務中心,600嘉義市西區民生南路217號
184,中油公司煉製研究所,600嘉義市西區民生南路217號
185,嘉義市民生公園-1,600嘉義市西區民生南路222號對面電信箱
186,嘉義湖內郵局,600嘉義市西區民生南路540號
187,嘉義市民生公園-2,600嘉義市西區民生南路與興業西路口公話亭
188,嘉義市身心障礙綜合園區(再耕園1樓大廳),600嘉義市西區玉康路160號
189,嘉義福全郵局,600嘉義市西區福全里北港路55、57號
190,臺灣土地銀行嘉興分行,600嘉義市西區自由路28號
191,第一商業銀行(興嘉分行),600嘉義市西區興業西路427號
192,華南商業銀行嘉南分行,600嘉義市西區蘭井街469號
193,嘉義市北鎮聯合里辦公室,600嘉義市西區通化四街25號
194,嘉義市八掌聯合里辦公室,600嘉義市西區錦州二街28號2樓
195,嘉義市西區戶政事務所,600嘉義市西區錦州二街28號2樓
196,嘉義市西區區公所,600嘉義市西區錦州二街28號3樓
197,嘉義市政府九樓禮堂,600嘉義市東區中山路199號9樓
198,嘉義市黃賓圖書館室內3樓,600嘉義市東區延平街328號
199,嘉義市消防局(第一消防分隊),600嘉義市東區立學街16號
200,嘉義市警察局禮堂(警察局5樓),600嘉義市東區中山路195號5樓
201,嘉義市政府文化局圖書館(兒童閱覽室),600嘉義市東區忠孝路275號
202,嘉義市消防局(後湖消防分隊),600嘉義市東區保健街123號
203,嘉義市世賢圖書館室內2樓,600嘉義市西區世賢路一段685號
204,嘉義市垃圾焚化廠管理大樓,600嘉義市西區湖子內路741號
205,嘉義市北園國中,600嘉義市西區雙園街280號
206,嘉義火車站前廣場,600嘉義市西區中山路530號前
207,嘉義市中央廣場(靠啄木鳥電話亭),600嘉義市東區文化路1797號對面
208,嘉義市魚市場(東),600嘉義市西區埤竹路52號
209,嘉義市魚市場(西),600嘉義市西區埤竹路52號
210,嘉義市果菜市場(東),600嘉義市西區埤竹路50號56攤
211,嘉義市果菜市場(西),600嘉義市西區埤竹路50號15攤
212,嘉義市崇文公園,600嘉義市西區永安街22號對面
213,嘉義市文化公園(靠近嘉女路側廁所),600嘉義市西區文化路1-5號對面
214,嘉義市文昌公園,600嘉義市東區文昌街96號對面
215,嘉義市南田公園,600嘉義市東區興業東路265巷1號前
216,嘉義市義昌公園,600嘉義市西區延平街370號旁
217,嘉義市中正公園,600嘉義市西區民權路396號
218,嘉義市長榮公園,600嘉義市東區安和街210號前公話亭
219,嘉義市頂庄公園,600嘉義市東區義教街613巷27號
220,嘉義市香湖公園1(LED看板),600嘉義市西區文化路585號(阿潘肉包前LED看板)
221,嘉義市香湖公園2(文化路585號路口監控),600嘉義市西區文化路607號
222,嘉義市香湖公園3(友愛路口路口監控),600嘉義市西區友愛路1001號前安全島
223,嘉義市友忠公園,600嘉義市西區福嘉街60號前管理中心
224,嘉義市博愛公園,600嘉義市西區友愛路629號廁所旁
225,嘉義市湖內兒童公園,600嘉義市西區民生南路818巷101號前
226,嘉義市興嘉公園(靠興業西路側公話亭),600嘉義市西區興業西路455號對面公話亭
227,嘉義市劉厝3號公園,600嘉義市西區大聖路282號對面
228,嘉義市劉厝1號公園,600嘉義市西區大利街160號對面
229,嘉義市農會(前候車亭),600嘉義市西區北港路251號旁
230,嘉義市嘉油鐵馬道(紅瓦厝站),600嘉義市西區重慶一街280號後
231,嘉義市嘉油鐵馬道(民生南路),600嘉義市西區民生南路530號後
232,嘉義市嘉油鐵馬道(世賢路四段),600嘉義市西區世賢路四段250號後
233,嘉義市港坪運動公園(市內場館1F),600嘉義市西區大同路320號1F
234,嘉義市港坪運動公園(市內場館2F),600嘉義市西區大同路320號2F觀眾席
